date,LEVEL,RAIN
22-Nov-02,212,1
23-Nov-02,209,0
24-Nov-02,205,0
25-Nov-02,202,13.5
26-Nov-02,202,3.8
27-Nov-02,202,6.1
28-Nov-02,202,2
29-Nov-02,200,8.7
30-Nov-02,198,12.5
1-Dec-02,198,27.6
2-Dec-02,201,3
3-Dec-02,203,10
4-Dec-02,199,9
5-Dec-02,196,12
6-Dec-02,208,23
7-Dec-02,203,29.4
8-Dec-02,214,108.4
9-Dec-02,218,21.9
10-Dec-02,224,15.4
11-Dec-02,226,0
12-Dec-02,208,0
13-Dec-02,199,12.1
14-Dec-02,196,63.1
15-Dec-02,207,160.1
16-Dec-02,270,164.5
17-Dec-02,311,94.1
18-Dec-02,283,16.3
19-Dec-02,258,48.1
20-Dec-02,239,123
21-Dec-02,272,34.6
22-Dec-02,252,0
23-Dec-02,223,0
24-Dec-02,213,0
25-Dec-02,206,1.4
26-Dec-02,204,4.5
27-Dec-02,204,0
28-Dec-02,198,38.2
29-Dec-02,197,53.3
30-Dec-02,205,0
31-Dec-02,200,0
1-Jan-03,195,0
2-Jan-03,192,0
3-Jan-03,190,6.5
4-Jan-03,191,5
5-Jan-03,189,0
6-Jan-03,188,0
